CountryName,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Population,CapitalLatitude,CapitalLongitude
USA,"29,993,423",,"545,544 ",,"7,416,659","332,352,077",38.883333,-77.0
Brazil,"11,368,316",,"275,276 ",,"1,092,060","213,609,288",-15.783333333333333,-47.916667
India,"11,333,491",,"158,483 ",,"203,661","1,389,419,783",28.6,77.2
Russia,"4,370,617",,"91,220 ",,"306,368","145,978,069",55.75,37.6
UK,"4,248,286",,"125,343 ",,"698,851","68,134,001",51.5,-0.083333
France,"4,015,560",,"90,146 ",,"3,653,736","65,374,087",48.86666666666667,2.333333
Spain,"3,183,704",,"72,258 ",,"253,732","46,767,398",40.4,-3.683333
Italy,"3,175,807",,"101,564 ",,"509,317","60,399,822",41.9,12.483333
Turkey,"2,850,930",,"29,356 ",,"151,301","84,968,579",39.93333333333333,32.866667
Germany,"2,559,296",,"73,790 ",,"139,906","83,970,413",52.51666666666666,13.4
Colombia,"2,294,617",,"60,950 ",,"38,098","51,259,107",4.6,-74.083333
Argentina,"2,185,747",,"53,578 ",,"157,303","45,483,666",-34.583333333333336,-58.666667000000004
Mexico,"2,157,771","+6,743","193,851 ",+709,"267,181","129,872,506",19.433333333333334,-99.133333
Poland,"1,868,297",,"46,724 ",,"291,089","37,817,707",52.25,21.0
Iran,"1,731,558",,"61,069 ",,"192,901","84,737,946",35.7,51.416667
South Africa,"1,526,873",,"51,179 ",,"26,040","59,826,923",-25.7,28.216666999999998
Ukraine,"1,438,468",,"27,915 ",,"195,677","43,550,185",50.43333333333333,30.516666999999998
Indonesia,"1,410,134",,"38,229 ",,"140,451","275,530,076",-6.166666666666668,106.816667
Peru,"1,402,610",,"48,664 ",,"45,771","33,289,963",-12.05,-77.05
Czechia,"1,376,998",,"22,865 ",,"162,351","10,722,817",19.0,19.0
Netherlands,"1,144,822",,"16,024 ",,N/A,"17,161,273",52.35,4.9166669999999995
Canada,"903,233",,"22,404 ",,"30,781","37,971,911",45.41666666666666,-75.7
Chile,"879,485",,"21,451 ",,"33,135","19,230,141",-33.45,-70.666667
Romania,"850,362",,"21,360 ",,"51,287","19,148,003",44.43333333333333,26.1
Israel,"816,198",,"5,980 ",,"34,322","9,197,590 ",31.766666666666666,35.233333
Portugal,"813,152",,"16,650 ",,"46,732","10,175,962",38.71666666666667,-9.133333
Belgium,"798,108",,"22,370 ",,"721,694","11,624,713",50.83333333333334,4.3333330000000005
Iraq,"750,264",,"13,696 ",,"58,826","40,844,935",33.333333333333336,44.4
Sweden,"712,527",,"13,146 ",,N/A,"10,143,038",59.33333333333334,18.05
Philippines,"611,618",,"12,694 ",,"52,012","110,591,530",14.6,120.96666699999999
Pakistan,"600,198",,"13,430 ",,"18,703","223,854,800",33.68333333333333,73.05
Switzerland,"570,645",,"10,104 ",,"32,437","8,698,595",46.91666666666666,7.466667
Bangladesh,"555,222",,"8,515 ",,"37,535","165,827,934",23.716666666666665,90.4
Serbia,"507,959",,"4,670 ",,"102,942","8,712,801",44.83333333333334,20.5
Hungary,"498,183",,"16,627 ",,"134,652","9,643,236",47.5,19.083333
Morocco,"488,181",,"8,716 ",,"4,527","37,213,872",34.016666666666666,-6.816667
Austria,"488,042",,"8,831 ",,"26,133","9,042,127",48.2,16.366667
Jordan,"464,856",,"5,224 ",,"74,099","10,273,423",31.95,35.933333000000005
Japan,"444,289",,"8,451 ",,"12,219","126,206,260",35.68333333333333,139.75
UAE,"422,246",,"1,378 ",,"19,329","9,973,240",39.0,39.0
Lebanon,"411,839",,"5,278 ",,"84,571","6,804,102",33.86666666666667,35.5
Saudi Arabia,"381,708",,"6,556 ",,"2,935","35,189,073",24.65,46.7
Panama,"347,226",,"5,981 ",,"6,450","4,361,767",8.966666666666667,-79.533333
Slovakia,"333,872",,"8,346 ",,"70,226","5,461,485",48.15,17.116667
Malaysia,"320,939",,"1,203 ",,"17,074","32,653,364",3.1666666666666665,101.7
Belarus,"300,146",,"2,078 ",,"7,203","9,447,156",53.9,27.566667
Ecuador,"299,216",,"16,193 ",,"27,014","17,828,490",-0.21666666666666667,-78.5
Bulgaria,"275,859",,"11,196 ",,"41,183","6,911,877",42.68333333333333,23.316667000000002
Nepal,"275,118",,"3,012 ",,929,"29,499,030",27.716666666666665,85.31666700000001
Georgia,"274,377",,"3,634 ",,"2,979","3,983,826",41.68333333333333,44.833333
Bolivia,"258,324","+1,084","11,930 ",+27,"42,928","11,783,318",-16.5,-68.15
Croatia,"249,661",,"5,647 ",,"4,522","4,087,578",45.8,16.0
Dominican Republic,"245,452",,"3,213 ",,"41,317","10,923,394",18.466666666666665,-69.9
Tunisia,"240,617",,"8,329 ",,"25,425","11,904,413",36.8,10.183333
Azerbaijan,"238,959",,"3,268 ",,"5,230","10,202,622",40.38333333333333,49.866667
Ireland,"225,820",,"4,518 ",,"197,938","4,976,038",53.31666666666667,-6.233333
Kazakhstan,"221,669",,"2,837 ",,"14,050","18,932,409",51.16666666666666,71.416667
Denmark,"219,305",,"2,387 ",,"8,317","5,806,397",55.66666666666666,12.583333
Greece,"217,018",,"6,986 ",,"27,087","10,387,498",37.98333333333333,23.733333
Costa Rica,"209,093",,"2,862 ",,"17,264","5,126,410",9.933333333333334,-84.083333
Kuwait,"207,249",,"1,156 ",,"14,676","4,314,295",29.36666666666667,47.966667
Palestine,"205,652",,"2,228 ",,"20,421","5,183,161",31.766666666666666,35.233333
Lithuania,"204,356",,"3,373 ",,"10,749","2,695,669",54.68333333333333,25.316667000000002
Moldova,"201,909",,"4,258 ",,"21,501","4,027,422",47.0,28.85
Slovenia,"199,004",,"3,926 ",,"10,325","2,079,137",46.05,14.516667000000002
Egypt,"189,639",,"11,214 ",,"31,991","103,667,896",30.05,31.25
Guatemala,"181,974",,"6,546 ",,"8,003","18,144,574",14.616666666666667,-90.516667
Paraguay,"177,593",,"3,436 ",,"27,386","7,193,267",-25.266666666666666,-57.666667000000004
Armenia,"177,104",,"3,243 ",,"8,143","2,967,100",40.16666666666666,44.5
Honduras,"176,427",,"4,311 ",,"103,616","10,013,604",14.1,-87.216667
Ethiopia,"172,571",,"2,510 ",,"28,866","116,925,005",9.033333333333333,38.7
Qatar,"169,284",,265 ,,"11,442","2,807,805 ",25.28333333333333,51.533333
Nigeria,"160,332",,"2,009 ",,"14,264","209,658,679",9.083333333333334,7.533333
Oman,"145,257",,"1,600 ",,"8,430","5,196,050",23.61666666666667,58.583332999999996
Venezuela,"144,786",,"1,422 ",,"6,654","28,379,718",10.483333333333333,-66.866667
Libya,"143,643",,"2,348 ",,"10,670","6,936,016",32.88333333333333,13.166667000000002
Bosnia and Herzegovina,"142,160",,"5,446 ",,"16,556","3,266,560",43.86666666666667,18.416667
Myanmar,"142,122",,"3,201 ",,"7,193","54,663,290",16.8,96.15
Bahrain,"129,825",,480 ,,"6,175","1,742,099",26.23333333333333,50.566666999999995
Albania,"116,123",,"2,018 ",,"34,974","2,875,606",41.31666666666667,19.816667000000002
Algeria,"115,008",,"3,031 ",,"32,305","44,398,335",36.75,3.05
Kenya,"111,935",,"1,901 ",,"21,825","54,588,274",-1.2833333333333332,36.816666999999995
North Macedonia,"111,077",,"3,280 ",,"10,872","2,083,314",82.0,82.0
S. Korea,"95,176",+490,"1,667 ",+5,"6,884","51,299,927",83.0,83.0
Latvia,"92,906",,"1,746 ",,"7,778","1,871,599",56.95,24.1
Sri Lanka,"87,286",,525 ,,"2,803","21,475,715",6.916666666666668,79.833333
Kyrgyzstan,"86,755",,"1,480 ",,"1,509","6,598,650",42.86666666666667,74.6
Ghana,"86,737",,656 ,,"4,782","31,520,596",5.55,-0.216667
Zambia,"84,240",,"1,149 ",,"2,629","18,737,978",-15.416666666666664,28.283333000000002
Montenegro,"82,610",,"1,117 ",,"9,003","628,121",42.43333333333333,19.266667
Estonia,"82,286",,695 ,,"23,548","1,327,157",59.43333333333333,24.716667
Uzbekistan,"80,392",,622 ,,693,"33,805,059",41.31666666666667,69.25
Norway,"78,946",,639 ,,"12,293","5,450,686",59.91666666666666,10.75
Uruguay,"69,074",,689 ,,"9,758","3,482,108",-34.85,-56.166667000000004
Finland,"65,315",,786 ,,"18,529","5,546,715",60.16666666666666,24.933332999999998
Mozambique,"64,004",,719 ,,"14,347","31,857,555",-25.95,32.583333
El Salvador,"61,947",,"1,940 ",,"1,341","6,508,966",13.7,-89.2
Singapore,"60,080",,29 ,,101,"5,882,301",1.2833333333333332,103.85
Cuba,"59,919",,365 ,,"4,702","11,321,796",23.11666666666667,-82.35
